page_id,page_url,request_url,request_number,list_id,first_publication_date,index_date,status,category_id,category_name,subject,body,price,price_cents,url,image_url,city,zipcode,department_name,latitude,longitude,owner_name,owner_type,condition,product,shippable,has_option,booster
page_29,https://www.leboncoin.fr/recherche?text=imprimante+3d&locations=Tours_37000__47.38846_0.68957_5000_30000&page=2,https://api.leboncoin.fr/finder/search,5,2463925659,2023-12-16 12:03:35,2023-12-16 12:03:35,active,88,Loisirs créatifs,Imprimante 3d creality cr10 v2,"Imprimante 3d cr10 v2 

30x30x45  300w 
Parfaite état 
Avec outil et filament 

Envois compliquer ou démonter",190,19000,https://www.leboncoin.fr/ad/loisirs_creatifs/2463925659,https://img.leboncoin.fr/api/v1/lbcpb1/images/02/9d/fa/029dfa5a79f244daea02370a403c41975fc5957c.jpg?rule=ad-image,Saint-Cyr-sur-Loire,37540,Indre-et-Loire,47.40004,0.66617,lerebel60,private,Très bon état,,true,False,False
page_29,https://www.leboncoin.fr/recherche?text=imprimante+3d&locations=Tours_37000__47.38846_0.68957_5000_30000&page=2,https://api.leboncoin.fr/finder/search,5,2432335655,2023-10-23 18:24:03,2023-10-23 18:24:03,active,83,Accessoires informatique,Imprimante 3d flsun SR,Très bon état,230,23000,https://www.leboncoin.fr/ad/accessoires_informatique/2432335655,https://img.leboncoin.fr/api/v1/lbcpb1/images/9d/2e/85/9d2e859de88554014d2583e270abdf46af8efbdd.jpg?rule=ad-image,Tours,37000,Indre-et-Loire,47.38846,0.68957,Istenz,private,État neuf,Imprimante & scanner,true,False,False
page_29,https://www.leboncoin.fr/recherche?text=imprimante+3d&locations=Tours_37000__47.38846_0.68957_5000_30000&page=2,https://api.leboncoin.fr/finder/search,5,2422845638,2023-10-06 17:28:42,2023-10-06 17:28:42,active,83,Accessoires informatique,Imprimante 3D,"Imprimante 3D Alphawise u30
Tête d'impression a été upgradée en impression directe

Buse de 4mm

En état de fonctionnement
Vend car passer sur modèle plus récent.",100,10000,https://www.leboncoin.fr/ad/accessoires_informatique/2422845638,https://img.leboncoin.fr/api/v1/lbcpb1/images/eb/32/72/eb327256f7e4d1d4f40c06dd2cf9ed50e63f87f7.jpg?rule=ad-image,Notre-Dame-d'Oé,37390,Indre-et-Loire,47.4622,0.70537,drow37,private,Bon état,,false,False,False
page_29,https://www.leboncoin.fr/recherche?text=imprimante+3d&locations=Tours_37000__47.38846_0.68957_5000_30000&page=2,https://api.leboncoin.fr/finder/search,5,2427112449,2023-10-14 16:12:58,2023-10-14 16:12:58,active,15,Ordinateurs,Silent bloc nema 17,Vend lot de 3 silent bloc pour moteur pas à pas d'ender 3... Peut convenir à tout les moteur nema 17 d'imprimante 3d,5,500,https://www.leboncoin.fr/ad/ordinateurs/2427112449,https://img.leboncoin.fr/api/v1/lbcpb1/images/c4/8a/8c/c48a8ce18fb96a605d06cd0892f0adb64e171b63.jpg?rule=ad-image,Montlouis-sur-Loire,37270,Indre-et-Loire,47.3887,0.82718,Adrien,private,Bon état,,true,False,False
page_29,https://www.leboncoin.fr/recherche?text=imprimante+3d&locations=Tours_37000__47.38846_0.68957_5000_30000&page=2,https://api.leboncoin.fr/finder/search,5,2418657340,2023-09-28 16:22:07,2023-09-28 16:22:07,active,83,Accessoires informatique,"Sovol sv06 imprimante 3d automatique, très simple d'utilisation","Bonjour, 
Je vends une imprimante 3d Sovol SV06.
Belle opportunité avec Hotend tout métal, permettant d'atteindre des températures élevées pour les différents matériaux.
Extruder avec dispositif de démultiplication, qui améliore la précision et la qualité.
Capteur de nivellement du lit par palpeur électromagnétique.
Plateau en PEI neuf.
Carte mère 32bits, peut accepter la version 2.0 de Marlin.
Double axe Z.
Reprise d'une impression en cours si il y a interruption.

Volume d'impression 220x220x250 mm.

Les axes font leurs recherches de fin de course automatiquement, 
Machine très simple d'utilisation, il faut être rigoureux sur le réglage du Z comme toute imprimante 3d.
Si vous avez des questions, n'hésitez pas à demander.

A vendre 170e avec 1kg de pla blanc neuf",170,17000,https://www.leboncoin.fr/ad/accessoires_informatique/2418657340,https://img.leboncoin.fr/api/v1/lbcpb1/images/b4/48/a3/b448a3762f1401235b774ea75530cf7605c9b145.jpg?rule=ad-image,Azay-sur-Cher,37270,Indre-et-Loire,47.34787,0.84292,Alex037,private,Très bon état,Autre,true,False,False
page_29,https://www.leboncoin.fr/recherche?text=imprimante+3d&locations=Tours_37000__47.38846_0.68957_5000_30000&page=2,https://api.leboncoin.fr/finder/search,5,2409062053,2023-09-10 18:52:33,2023-09-10 18:52:33,active,83,Accessoires informatique,Imprimante 3D,Imprimante 3D de marque Ender. Vendue avec 10 bobines de fil bleu et blanc. Pas de livraison.,150,15000,https://www.leboncoin.fr/ad/accessoires_informatique/2409062053,https://img.leboncoin.fr/api/v1/lbcpb1/images/ab/d0/5a/abd05aedb524953e88f45e65be7ea29a1cf5f17c.jpg?rule=ad-image,Tours,37000,Indre-et-Loire,47.38846,0.68957,Carole,private,Très bon état,,false,False,False
page_29,https://www.leboncoin.fr/recherche?text=imprimante+3d&locations=Tours_37000__47.38846_0.68957_5000_30000&page=2,https://api.leboncoin.fr/finder/search,5,2408673276,2023-09-10 12:05:22,2023-09-10 12:05:22,active,83,Accessoires informatique,Imprimante 3d Creality ender 3 Max,"Bonjour, je me sépare de ma Creality ender 3 Max.
Elle fonctionne parfaitement, quelques traces d'utilisation bien sûr.
Grand plateau en verre, silencieuse et performante.
Idéal pour débuter comme pour un usage avancé.

Livraison possible",110,11000,https://www.leboncoin.fr/ad/accessoires_informatique/2408673276,https://img.leboncoin.fr/api/v1/lbcpb1/images/7a/4b/7c/7a4b7c307f1417e5cab90a3c560316cf8b110894.jpg?rule=ad-image,Tours,37000,Indre-et-Loire,47.38846,0.68957,Particulier-Info37,private,Bon état,Imprimante & scanner,true,False,False
page_29,https://www.leboncoin.fr/recherche?text=imprimante+3d&locations=Tours_37000__47.38846_0.68957_5000_30000&page=2,https://api.leboncoin.fr/finder/search,5,2367111207,2023-06-19 17:40:20,2023-08-04 20:37:45,active,83,Accessoires informatique,Imprimante 3d ender,"Guide d'utilisation,sache d'outils ,boitier électrique neuf, Fil de commande Neuf,négociation bon marché",120,12000,https://www.leboncoin.fr/ad/accessoires_informatique/2367111207,https://img.leboncoin.fr/api/v1/lbcpb1/images/bd/46/a8/bd46a80988a62b38e84e758e9d5482c131b38e61.jpg?rule=ad-image,Tours,37000,Indre-et-Loire,47.38143,0.68894,Veve,private,Très bon état,Imprimante & scanner,true,False,False
page_29,https://www.leboncoin.fr/recherche?text=imprimante+3d&locations=Tours_37000__47.38846_0.68957_5000_30000&page=2,https://api.leboncoin.fr/finder/search,5,2388802148,2023-08-02 21:33:33,2023-08-02 21:33:33,active,83,Accessoires informatique,Imprimante 3D,"Imprimante 3D vendu avec deux bobines de filaments neuf presque jamais servi

170€
négociable dans la limite du raisonnable",110,11000,https://www.leboncoin.fr/ad/accessoires_informatique/2388802148,https://img.leboncoin.fr/api/v1/lbcpb1/images/d3/2a/f2/d32af2de9c5fe878de5e18a4f05791917f91fbac.jpg?rule=ad-image,Monnaie,37380,Indre-et-Loire,47.50101,0.78848,Mathis Terriot,private,État neuf,,true,False,False
page_29,https://www.leboncoin.fr/recherche?text=imprimante+3d&locations=Tours_37000__47.38846_0.68957_5000_30000&page=2,https://api.leboncoin.fr/finder/search,5,2384096741,2023-07-24 16:32:01,2023-07-24 16:32:01,active,83,Accessoires informatique,Imprimante 3D ( Prix Négociable ),"Imprimante 3D Da Vinci Mini W en excellent état avec bobine de fil neuve incluse !

Description :

Bonjour à tous !

Je mets en vente mon  imprimante 3D Da Vinci Mini W, en excellent état, qui vous permettra de donner vie à toutes vos idées créatives. Si vous cherchez une imprimante fiable et simple d'utilisation, ne cherchez pas plus loin !

Caractéristiques principales :
- État : Très bon
- Modèle : Da Vinci Mini W
- Facilité d'utilisation : Parfait pour les débutants et les passionnés d'impression 3D
- Qualité d'impression : Impression de haute qualité avec une résolution précise
- Inclus : Une bobine de fil neuve pour que vous puissiez commencer à imprimer dès que vous l'aurez chez vous !
-Prix neuf : 299.99 Euros

Cette imprimante 3D est parfaite pour réaliser toutes sortes de projets, que ce soit des objets décoratifs, des accessoires pratiques, ou même des prototypes de vos inventions. Elle est conçue pour vous offrir une expérience d'impression fluide.

De plus, je vous laisse avec un film PEI déjà installé, qui est toujours en état de fonctionnement. Cependant, si vous souhaitez renouveler le film plus tard, cela peut être fait facilement et à moindre coût.

Ne manquez pas cette opportunité de posséder une imprimante 3D de qualité à un prix très attractif. Vous pourrez donner vie à vos créations les plus ambitieuses !

N'hésitez pas à me contacter pour toute question ou si vous souhaitez plus de photos. 

Prix : 180 E Négociable
Lieu de vente : Tours et sa périphérie",100,10000,https://www.leboncoin.fr/ad/accessoires_informatique/2384096741,https://img.leboncoin.fr/api/v1/lbcpb1/images/35/fb/7c/35fb7c01320cbed489b3be154c77753b13a3e2df.jpg?rule=ad-image,Tours,37000,Indre-et-Loire,47.38846,0.68957,Quentin,private,,,true,False,False
page_29,https://www.leboncoin.fr/recherche?text=imprimante+3d&locations=Tours_37000__47.38846_0.68957_5000_30000&page=2,https://api.leboncoin.fr/finder/search,5,2378102718,2023-07-12 13:13:19,2023-07-12 13:13:19,active,83,Accessoires informatique,Imprimante 3D Couleur XYZ Printing da Vinci Series,"Vends Imprimante 3D Couleur XYZ Printing da Vinci Series comme neuf trés peu servi, à venir chercher sur place...",1600,160000,https://www.leboncoin.fr/ad/accessoires_informatique/2378102718,https://img.leboncoin.fr/api/v1/lbcpb1/images/1e/94/10/1e94101d6ad2ef195c5b27ebc4d22b8642e7afcd.jpg?rule=ad-image,Villedômer,37110,Indre-et-Loire,47.54553,0.88939,seb37,private,État neuf,,false,False,False
page_29,https://www.leboncoin.fr/recherche?text=imprimante+3d&locations=Tours_37000__47.38846_0.68957_5000_30000&page=2,https://api.leboncoin.fr/finder/search,5,2310276721,2023-03-04 15:49:09,2023-03-04 15:49:09,active,83,Accessoires informatique,Encre imprimante 3D,Reçue par erreur par le fournisseur. Je ne sais même pas ce que c’est … 3D printing sensitive résine / couleur: light beige / 1kg,30,3000,https://www.leboncoin.fr/ad/accessoires_informatique/2310276721,https://img.leboncoin.fr/api/v1/lbcpb1/images/08/f9/bc/08f9bc99c65b6f6d816c5f66e9d2052f24c1b4c0.jpg?rule=ad-image,Esvres,37320,Indre-et-Loire,47.28931,0.7888,radi,private,État neuf,,true,False,False
page_29,https://www.leboncoin.fr/recherche?text=imprimante+3d&locations=Tours_37000__47.38846_0.68957_5000_30000&page=2,https://api.leboncoin.fr/finder/search,5,2306882592,2023-02-26 08:23:04,2023-02-26 08:23:04,active,21,Bricolage,Imprimante 3D Creality CR5-Pro H,"Imprimante 3D Creality CR 5 Pro pour la fabrication industrielle : machine de professionnel à prix très abordable !
Technologie FDM (Fused Deposition Modeling)
Dimensions de la machine 530 x 487 x 612 mm
Poids de la Machine 32.5 kg
Filaments Imprimables PLA / ABS
Volume d'impression 300 mm x 225 mm x 280 mm
Épaisseur de couches 0.1 - 0.3 mm
Température buse ≤300 °C
Diamètre du filament 1.75 mm
Lit d'impression Chauffant ≤100 °C
Écran Écran tactile 4.3"" couleur",799,79900,https://www.leboncoin.fr/ad/bricolage/2306882592,https://img.leboncoin.fr/api/v1/lbcpb1/images/52/30/0f/52300f37d06f128150dcfb0c837dfde4c34ac4fa.jpg?rule=ad-image,Azay-le-Rideau,37190,Indre-et-Loire,47.26203,0.46513,Xavier,private,Très bon état,,true,False,False
page_29,https://www.leboncoin.fr/recherche?text=imprimante+3d&locations=Tours_37000__47.38846_0.68957_5000_30000&page=2,https://api.leboncoin.fr/finder/search,5,2255246758,2022-11-16 20:55:12,2022-11-16 20:55:12,active,15,Ordinateurs,Bobine filament,"Bobine filament pour imprimante 3D, fibre de verre HSHT. Jamais ouvert car erreur d’achat. 50cm3",40,4000,https://www.leboncoin.fr/ad/ordinateurs/2255246758,https://img.leboncoin.fr/api/v1/lbcpb1/images/5e/b7/6c/5eb76c3c7cd09494ddbfeffeb6f625a18491ad08.jpg?rule=ad-image,Chambray-lès-Tours,37170,Indre-et-Loire,47.33888,0.71326,Damien Durand,private,État neuf,,true,False,False
page_29,https://www.leboncoin.fr/recherche?text=imprimante+3d&locations=Tours_37000__47.38846_0.68957_5000_30000&page=2,https://api.leboncoin.fr/finder/search,5,2255245267,2022-11-16 20:51:05,2022-11-16 20:51:05,active,83,Accessoires informatique,Bobine Imprimante 3D,"Bobine de filaments pour imprimante 3D, en fibre de carbone. Jamais ouvert car erreur d’achat. 50cm3",30,3000,https://www.leboncoin.fr/ad/accessoires_informatique/2255245267,https://img.leboncoin.fr/api/v1/lbcpb1/images/e6/54/2e/e6542e32fc2b6f8f8990e1437a90886253e83b4e.jpg?rule=ad-image,Chambray-lès-Tours,37170,Indre-et-Loire,47.33888,0.71326,Damien Durand,private,État neuf,,true,False,False
page_29,https://www.leboncoin.fr/recherche?text=imprimante+3d&locations=Tours_37000__47.38846_0.68957_5000_30000&page=2,https://api.leboncoin.fr/finder/search,5,2200913367,2022-08-05 18:22:34,2022-08-05 18:22:34,active,83,Accessoires informatique,Imprimante 3D Phrozen Shuffle 4K,"Imprimante 3D Phrozen Shuffle 4K

Machine weight: 12 Kg
Printing size: 12 * 6.8 * 17  cm
XY resolution: 31 µm
Z resolution: 10 µm
Printing speed: 35 mm per hour

N’a servi qu’une vingtaine d’heure.

Vendu avec une machine à UV (NailStar) pour polymériser les créations.

Le tout est vendu dans leur emballage d’origine.

Des traces de colle sont visibles sur la machine à UV (Cf. Photos).",350,35000,https://www.leboncoin.fr/ad/accessoires_informatique/2200913367,https://img.leboncoin.fr/api/v1/lbcpb1/images/a1/85/85/a18585c77119b931d27993b626236286ecdc823f.jpg?rule=ad-image,Tours,37000,Indre-et-Loire,47.38846,0.68957,Lightanon,private,Bon état,,true,False,False
page_29,https://www.leboncoin.fr/recherche?text=imprimante+3d&locations=Tours_37000__47.38846_0.68957_5000_30000&page=2,https://api.leboncoin.fr/finder/search,5,2149755355,2022-04-19 16:08:40,2022-06-13 18:33:20,active,47,Accessoires & Bagagerie,Pepite,"porte clé pièce unique fabrique grâce à une imprimante 3D,matiere plastique très léger à customiser.",5,500,https://www.leboncoin.fr/ad/accessoires_bagagerie/2149755355,https://img.leboncoin.fr/api/v1/lbcpb1/images/08/1c/8e/081c8e73ff0f7ac8003826152f9876b7aa7d64cd.jpg?rule=ad-image,Amboise,37400,Indre-et-Loire,47.41285,0.98255,pepite,private,Neuf sans étiquette,,true,False,False
page_29,https://www.leboncoin.fr/recherche?text=imprimante+3d&locations=Tours_37000__47.38846_0.68957_5000_30000&page=2,https://api.leboncoin.fr/finder/search,5,1988692580,2021-05-25 15:37:21,2021-07-24 17:25:08,active,29,Sport & Plein air,Capteur de nivellement BLtouch pour imprimante 3d,"Bonjour, je vends un capteur de nivellement du plateau pour imprimante 3d neuf.

Il s'agit du 3dTouch, clone du BLtouch mais n'a aucune différence avec celui-ci.

Il devait être installé sur une ender 3 et ça ne s'est pas fait. Vendu avec un support (possibilité d'en imprimer un autre si besoin).

Possibilité de l'installer avec son firmware pour vous.

Remise en main propre ou envoi mondial relay.",25,2500,https://www.leboncoin.fr/ad/sport_plein_air/1988692580,https://img.leboncoin.fr/api/v1/lbcpb1/images/cc/69/23/cc69239c756ec4add5fb903c3216bd6f61fa157f.jpg?rule=ad-image,Tours,37200,Indre-et-Loire,47.3621,0.70065,mikoto,private,État neuf,,true,False,False
